Point,Lat,Long,LL_Elevation,Easting,Northing,NE_Elevation,H_Prec,V_Prec,,,Downstream Reach,Lat,Long,LL_Elevation,Easting,Northing,NE_Elevation,H_Prec,V_Prec,
base,35.86688,-106.52459,2713.192,475203.275,539779.036,2732.141,,,,,PIEZO1,35.86786,-106.52333,2702.803,475317.089,539886.423,2721.752,0.036,0.048,
base301q,35.86688,-106.52459,2713.192,475203.275,539779.036,2732.141,,,,,EXPISCO,35.86786,-106.52333,2702.899,475316.609,539887.339,2721.848,0.023,0.029,
PIPE1,35.86798,-106.5235,2704.361,475301.785,539899.779,2723.309,0.111,0.069,,,GW1,35.8679,-106.52335,2703.333,475315.272,539890.899,2722.282,0.031,0.04,
PIPE2,35.86804,-106.52363,2705.874,475289.802,539907.442,2724.822,0.026,0.049,,,ISCO1,35.86794,-106.52342,2704.313,475308.898,539895.614,2723.261,0.12,0.114,
PIPE3,35.86843,-106.52425,2714.317,475234.065,539950.128,2733.262,0.034,0.051,,,GW2,35.8679,-106.52342,2703.571,475308.442,539891.831,2722.52,0.093,0.105,
PIPE4,35.86862,-106.52453,2717.797,475208.679,539971.956,2736.741,0.034,0.039,,,TPROBE25,-,-,-,-,-,-,-,-,
GW1,35.8679,-106.52335,2703.333,475315.272,539890.899,2722.282,0.031,0.04,,,GW3,35.86795,-106.52346,2704.473,475305.563,539897.375,2723.422,0.268,0.393,
GW2,35.8679,-106.52342,2703.571,475308.442,539891.831,2722.52,0.093,0.105,,,PIEZO2,35.86796,-106.52349,2704.191,475302.119,539897.75,2723.14,0.06,0.038,
GW3,35.86795,-106.52346,2704.473,475305.563,539897.375,2723.422,0.268,0.393,,,MIC1,35.86797,-106.52349,2705.231,475302.134,539899.396,2724.179,0.171,0.238,
TPROBE8,35.86798,-106.5235,2704.5,475301.45,539899.932,2723.448,0.111,0.07,,,PIPE1,35.86798,-106.5235,2704.361,475301.785,539899.779,2723.309,0.111,0.069,
GW4,35.86801,-106.52355,2705.118,475297.023,539903.465,2724.067,0.172,0.227,,,TPROBE8,35.86798,-106.5235,2704.5,475301.45,539899.932,2723.448,0.111,0.07,
TPROBE2,35.86805,-106.52365,2705.869,475288.343,539908.305,2724.817,0.057,0.119,,,SONDE1,35.86801,-106.52353,2704.909,475299.171,539903.706,2723.857,0.07,0.11,
TPROBE1,35.86807,-106.52371,2708.194,475282.766,539910.34,2727.142,1.16,0.585,,,ISCO2,35.86801,-106.52352,2704.868,475299.784,539903.827,2723.817,0.116,0.064,
GW5,35.86838,-106.52425,2714.399,475233.74,539944.49,2733.345,0.025,0.028,,,GW4,35.86801,-106.52355,2705.118,475297.023,539903.465,2724.067,0.172,0.227,
TPROBE4,35.86847,-106.52427,2714.58,475232.176,539954.306,2733.525,0.039,0.057,,,ANTENNA1,35.86804,-106.52354,2705.411,475297.879,539906.859,2724.359,0.06,0.147,
TPROBE4,35.86847,-106.52427,2714.588,475232.189,539954.309,2733.533,0.039,0.056,,,PIEZO 3,35.86804,-106.52358,2705.213,475294.792,539906.65,2724.161,0.027,0.058,
TPROBE5,35.86849,-106.5243,2714.808,475229.4,539957.226,2733.753,0.039,0.051,,,MIC2,35.86805,-106.52361,2705.698,475291.522,539907.67,2724.646,0.04,0.091,
GW7,35.8685,-106.52433,2716.352,475227.132,539957.793,2735.297,0.038,0.05,,,PIPE2,35.86804,-106.52363,2705.874,475289.802,539907.442,2724.822,0.026,0.049,
GW6,35.86852,-106.52432,2715.418,475227.861,539960.259,2734.363,0.034,0.049,,,TPROBE2,35.86805,-106.52365,2705.869,475288.343,539908.305,2724.817,0.057,0.119,
pizo_14 (t6),35.86858,-106.52443,2716.531,475218.077,539967.199,2735.475,0.038,0.055,,,TPROBE1,35.86807,-106.52371,2708.194,475282.766,539910.34,2727.142,1.16,0.585,
GW9,35.86858,-106.52449,2717.452,475212.755,539967.113,2736.397,0.244,0.317,,,,,,,,,,,,
GW8,35.8686,-106.52447,2717.669,475214.364,539969.679,2736.613,0.039,0.053,,,Upstream Reach,Lat,Long,LL_Elevation,Easting,Northing,NE_Elevation,H_Prec,V_Prec,
ANTENNA1,35.86804,-106.52354,2705.411,475297.879,539906.859,2724.359,0.06,0.147,,,GW5,35.86838,-106.52425,2714.399,475233.74,539944.49,2733.345,0.025,0.028,
SONDE1,35.86801,-106.52353,2704.909,475299.171,539903.706,2723.857,0.07,0.11,,,ISCO3,35.8684,-106.52424,2713.994,475234.992,539947.039,2732.939,0.037,0.039,
test,35.86793,-106.52332,2703.962,475318.309,539894.151,2722.911,0.397,1.469,,,PIEZO 4,35.86841,-106.52424,2714.065,475234.966,539947.602,2733.011,0.036,0.048,
EXPISCO,35.86786,-106.52333,2702.899,475316.609,539887.339,2721.848,0.023,0.029,,,PIPE3,35.86843,-106.52425,2714.317,475234.065,539950.128,2733.262,0.034,0.051,
ISCO1,35.86794,-106.52342,2704.313,475308.898,539895.614,2723.261,0.12,0.114,,,TPROBE4,35.86847,-106.52427,2714.58,475232.176,539954.306,2733.525,0.039,0.057,
MIC1,35.86797,-106.52349,2705.231,475302.134,539899.396,2724.179,0.171,0.238,,,TPROBE5,35.86849,-106.5243,2714.808,475229.4,539957.226,2733.753,0.039,0.051,
