Date_Time,Pressure,Temperature,Barom,WaterDepth
2023-06-22 00:00:00,767.85,9.87,751.692,0.1615723316719253
2023-06-22 00:15:00,767.675,9.87,751.692,0.1598224147241216
2023-06-22 00:30:00,767.325,9.87,751.342,0.15982241472412306
2023-06-22 00:45:00,767.325,9.87,751.225,0.16099235919779542
2023-06-22 01:00:00,767.325,9.87,751.225,0.16099235919779542
2023-06-22 01:15:00,767.208,9.877,751.05,0.1615723835061231
2023-06-22 01:30:00,767.208,9.877,751.05,0.1615723835061231
2023-06-22 01:45:00,767.208,9.877,751.225,0.1598224659969266
2023-06-22 02:00:00,767.208,9.877,751.225,0.1598224659969266
2023-06-22 02:15:00,767.325,9.883,751.225,0.160992455115789
2023-06-22 02:30:00,767.5,9.883,751.225,0.16274237310617815
2023-06-22 02:45:00,767.325,9.883,751.05,0.16274237310617962
2023-06-22 03:00:00,767.325,9.883,751.05,0.16274237310617962
2023-06-22 03:15:00,767.208,9.883,751.05,0.16157242793546198
2023-06-22 03:30:00,767.208,9.89,750.875,0.16332239832150264
2023-06-22 03:45:00,767.208,9.89,750.875,0.16332239832150264
2023-06-22 04:00:00,767.033,9.89,750.758,0.1627424253157693
2023-06-22 04:15:00,767.033,9.89,750.758,0.1627424253157693
2023-06-22 04:30:00,767.033,9.89,750.875,0.16157247976972006
2023-06-22 04:45:00,767.208,9.89,751.05,0.16157247976972153
2023-06-22 05:00:00,767.325,9.897,751.342,0.15982261249083793
2023-06-22 05:15:00,767.5,9.897,751.342,0.16157253160401433
2023-06-22 05:30:00,767.325,9.897,751.342,0.15982261249083793
2023-06-22 05:45:00,767.325,9.903,751.225,0.16099260268215612
2023-06-22 06:00:00,767.5,9.903,751.517,0.1598226564390618
2023-06-22 06:15:00,767.5,9.903,751.692,0.1580727368446919
2023-06-22 06:30:00,767.85,9.903,751.808,0.16041262933087908
2023-06-22 06:45:00,767.675,9.903,751.692,0.1598226564390618
2023-06-22 07:00:00,768.025,9.91,751.808,0.16216260094887372
2023-06-22 07:15:00,768.025,9.91,751.983,0.16041268079310933
2023-06-22 07:30:00,768.025,9.91,751.983,0.16041268079310933
2023-06-22 07:45:00,768.317,9.917,752.158,0.16158267924913028
2023-06-22 08:00:00,768.492,9.917,752.158,0.16333259996629101
2023-06-22 08:15:00,768.317,9.917,752.158,0.16158267924913028
2023-06-22 08:30:00,768.317,9.917,752.158,0.16158267924913028
2023-06-22 08:45:00,768.2,9.923,752.158,0.1604127763659102
2023-06-22 09:00:00,768.2,9.923,752.275,0.15924282905043866
2023-06-22 09:15:00,768.317,9.923,752.275,0.1604127763659102
2023-06-22 09:30:00,768.2,9.93,752.275,0.15924288013743026
2023-06-22 09:45:00,768.317,9.93,752.275,0.1604128278282348
2023-06-22 10:00:00,768.317,9.93,752.45,0.15866290606848268
2023-06-22 10:15:00,768.317,9.93,752.45,0.15866290606848268
2023-06-22 10:30:00,768.317,9.937,752.45,0.1586629569694444
2023-06-22 10:45:00,768.317,9.937,752.158,0.16158282735673016
2023-06-22 11:00:00,768.2,9.937,752.158,0.1604128792905924
2023-06-22 11:15:00,768.025,9.943,752.333,0.15691307779652147
