Date (MM/DD/YYYY),Time (HH:mm:ss),fDOM QSU,Turbidity FNU
9/14/2023,0:00:00,15.25,2
9/14/2023,0:15:00,14.92,2.02
9/14/2023,0:30:00,15.07,1.99
9/14/2023,0:45:00,15.06,2.01
9/14/2023,1:00:00,15.04,1.98
9/14/2023,1:15:00,14.89,1.99
9/14/2023,1:30:00,14.8,2
9/14/2023,1:45:00,14.76,1.99
9/14/2023,2:00:00,14.74,1.98
9/14/2023,2:15:00,14.69,1.98
9/14/2023,2:30:00,14.66,2.01
9/14/2023,2:45:00,14.61,1.98
9/14/2023,3:00:00,14.51,1.96
9/14/2023,3:15:00,14.55,1.93
9/14/2023,3:30:00,14.47,1.95
9/14/2023,3:45:00,14.43,1.9
9/14/2023,4:00:00,14.39,1.86
9/14/2023,4:15:00,14.33,1.86
9/14/2023,4:30:00,14.25,1.87
9/14/2023,4:45:00,14.24,1.86
9/14/2023,5:00:00,14,1.83
9/14/2023,5:15:00,14.13,1.83
9/14/2023,5:30:00,14.09,1.87
9/14/2023,5:45:00,14.03,1.84
9/14/2023,6:00:00,13.91,1.84
9/14/2023,6:15:00,13.9,1.84
9/14/2023,6:30:00,13.77,1.82
9/14/2023,6:45:00,13.79,1.85
9/14/2023,7:00:00,13.7,1.83
9/14/2023,7:15:00,13.79,1.81
9/14/2023,7:30:00,13.77,1.78
9/14/2023,7:45:00,13.71,1.77
9/14/2023,8:00:00,13.77,1.76
9/14/2023,8:15:00,13.68,1.73
9/14/2023,8:30:00,13.74,1.74
9/14/2023,8:45:00,13.74,1.71
9/14/2023,9:00:00,13.76,1.71
9/14/2023,9:15:00,13.66,1.75
9/14/2023,9:30:00,13.59,1.76
9/14/2023,9:45:00,13.49,1.75
9/14/2023,10:00:00,13.35,1.77
9/14/2023,10:15:00,13.23,1.76
9/14/2023,10:30:00,12.82,1.84
9/14/2023,10:45:00,13.11,1.79
9/14/2023,11:00:00,13.22,1.76
9/14/2023,11:15:00,13.14,1.82
9/14/2023,11:30:00,13.18,1.92
9/14/2023,11:45:00,13.2,1.83
9/14/2023,12:00:00,13.07,1.88
9/14/2023,12:15:00,13.12,1.82
9/14/2023,12:30:00,13.08,2.03
9/14/2023,12:45:00,13.3,2.14
9/14/2023,13:00:00,13.21,1.99
9/14/2023,13:15:00,13.31,2.04
9/14/2023,13:30:00,13.18,2.05
9/14/2023,13:45:00,13.34,1.99
9/14/2023,14:00:00,13.23,2.49
9/14/2023,14:15:00,14.36,5.19
9/14/2023,14:30:00,16.38,4.59
9/14/2023,14:45:00,18,5.77
9/14/2023,15:00:00,20.16,7.8
9/14/2023,15:05:00,20.97,8.58
9/14/2023,15:10:00,22.23,8.33
9/14/2023,15:15:00,22.7,8.01
9/14/2023,15:20:00,23.66,7.47
9/14/2023,15:25:00,24,6.91
9/14/2023,15:30:00,24.18,6.4
9/14/2023,15:45:00,25.83,5.93
9/14/2023,16:00:00,25.22,10.22
9/14/2023,16:05:00,25.48,11.95
9/14/2023,16:10:00,26.58,11.45
9/14/2023,16:15:00,26.49,11.11
9/14/2023,16:20:00,25.39,10.39
9/14/2023,16:25:00,25.46,10.09
9/14/2023,16:30:00,25.67,10.73
9/14/2023,16:35:00,24.94,10.46
9/14/2023,16:40:00,24.58,10.82
9/14/2023,16:45:00,25.62,11.05
9/14/2023,16:50:00,25.02,11.32
9/14/2023,16:55:00,24.56,11.81
9/14/2023,17:00:00,24.4,12.01
9/14/2023,17:05:00,25.16,11.99
9/14/2023,17:10:00,24.68,11.81
9/14/2023,17:15:00,24.06,11.29
9/14/2023,17:20:00,23.54,11.05
9/14/2023,17:25:00,22.79,10.69
9/14/2023,17:30:00,23.53,10.47
9/14/2023,17:35:00,24.01,10.15
9/14/2023,17:40:00,23.63,10.39
9/14/2023,17:45:00,24.63,12.23
9/14/2023,17:50:00,24.01,13.17
9/14/2023,17:55:00,24.25,13.99
9/14/2023,18:00:00,23.71,14.09
9/14/2023,18:05:00,23.07,14.1
9/14/2023,18:10:00,21.57,13.54
9/14/2023,18:15:00,21.5,13.07
9/14/2023,18:20:00,23.52,12.56
9/14/2023,18:25:00,23.35,12.22
9/14/2023,18:30:00,23.3,11.86
9/14/2023,18:35:00,22.67,11.31
9/14/2023,18:40:00,24.67,10.91
9/14/2023,18:45:00,24.57,10.54
9/14/2023,18:50:00,23.79,10.1
9/14/2023,18:55:00,26.34,9.74
9/14/2023,19:00:00,27.55,9.42
9/14/2023,19:05:00,28.36,9.08
9/14/2023,19:10:00,29.41,8.79
9/14/2023,19:15:00,29.13,8.47
9/14/2023,19:20:00,28.04,8.26
9/14/2023,19:25:00,29.83,7.92
9/14/2023,19:30:00,29.68,7.82
9/14/2023,19:35:00,30.45,7.54
9/14/2023,19:40:00,30.82,7.34
9/14/2023,19:45:00,31.54,7.18
9/14/2023,19:50:00,32.37,6.9
9/14/2023,19:55:00,32.22,6.79
9/14/2023,20:00:00,32.79,6.55
9/14/2023,20:15:00,33.91,6.29
9/14/2023,20:30:00,34.51,5.89
9/14/2023,20:45:00,35.23,5.62
9/14/2023,21:00:00,35.63,5.39
9/14/2023,21:15:00,36.09,5.37
9/14/2023,21:30:00,36.37,5.14
9/14/2023,21:45:00,36.65,4.78
9/14/2023,22:00:00,37.05,4.59
9/14/2023,22:15:00,37.04,4.49
9/14/2023,22:30:00,37.18,4.47
9/14/2023,22:45:00,36.92,4.34
9/14/2023,23:00:00,36.65,4.15
9/14/2023,23:15:00,35.84,4.06
9/14/2023,23:30:00,35.19,3.97
