Date/time,Pressure,Temperature,Barom
2021/07/29 12:15:00,758.808,16.087,756.65
2021/07/29 12:30:00,758.283,16.28,756.358
2021/07/29 12:45:00,758.167,16.193,756.533
2021/07/29 13:00:00,758.167,16.327,756.183
2021/07/29 13:15:00,757.992,16.527,756.358
2021/07/29 13:30:00,757.992,16.833,756.067
2021/07/29 13:45:00,757.642,16.813,755.892
2021/07/29 14:00:00,757.525,16.92,756.067
2021/07/29 14:15:00,757.35,17.08,755.892
2021/07/29 14:30:00,757.642,17.307,755.6
2021/07/29 14:45:00,757.175,17.18,755.6
2021/07/29 15:00:00,757.35,16.94,755.717
2021/07/29 15:15:00,757.175,16.76,755.542
2021/07/29 15:30:00,756.883,16.68,755.425
2021/07/29 15:45:00,757.175,16.967,755.25
2021/07/29 16:00:00,756.883,16.593,755.425
2021/07/29 16:15:00,756.883,16.18,755.25
2021/07/29 16:30:00,756.708,15.98,754.958
2021/07/29 16:45:00,756.533,15.72,755.25
2021/07/29 17:00:00,756.533,15.467,754.958
2021/07/29 17:15:00,756.533,15.167,754.783
2021/07/29 17:30:00,756.242,14.87,754.958
2021/07/29 17:45:00,756.242,14.63,754.608
2021/07/29 18:00:00,756.067,14.39,754.492
2021/07/29 18:15:00,756.067,14.077,754.783
2021/07/29 18:30:00,756.067,13.977,754.783
2021/07/29 18:45:00,756.067,13.77,754.958
2021/07/29 19:00:00,755.892,13.423,754.608
2021/07/29 19:15:00,756.242,13.063,754.783
2021/07/29 19:30:00,756.533,12.797,755.075
2021/07/29 19:45:00,756.358,12.59,755.075
2021/07/29 20:00:00,756.708,12.37,755.425
2021/07/29 20:15:00,756.883,12.13,755.542
2021/07/29 20:30:00,757,11.943,755.717
2021/07/29 20:45:00,757.175,11.757,755.717
2021/07/29 21:00:00,757.35,11.57,756.008
2021/07/29 21:15:00,757.642,11.417,756.183
2021/07/29 21:30:00,757.817,11.337,756.358
2021/07/29 21:45:00,758.283,11.237,756.65
2021/07/29 22:00:00,758.458,11.15,756.825
2021/07/29 22:15:00,758.633,11.03,756.942
2021/07/29 22:30:00,758.75,10.883,757.292
2021/07/29 22:45:00,758.925,10.77,757.292
2021/07/29 23:00:00,758.925,10.69,757.117
2021/07/29 23:15:00,758.75,10.65,757.233
2021/07/29 23:30:00,758.925,10.563,757.233
2021/07/29 23:45:00,758.925,10.463,757.233
2021/07/30 0:00:00,758.925,10.357,757.233
2021/07/30 0:15:00,758.75,10.29,757.233
2021/07/30 0:30:00,758.925,10.217,757.408
2021/07/30 0:45:00,758.925,10.177,757.408
2021/07/30 1:00:00,758.75,10.11,757.408
2021/07/30 1:15:00,758.75,10.037,757.117
2021/07/30 1:30:00,758.75,9.99,757.233
2021/07/30 1:45:00,758.75,10.023,757.117
2021/07/30 2:00:00,758.75,10.037,757.117
2021/07/30 2:15:00,758.75,10.077,757.117
2021/07/30 2:30:00,758.458,10.11,757.117
2021/07/30 2:45:00,758.633,10.123,756.942
2021/07/30 3:00:00,758.283,10.143,756.942
2021/07/30 3:15:00,758.458,10.157,756.942
2021/07/30 3:30:00,758.633,10.137,756.767
2021/07/30 3:45:00,758.283,10.117,756.767
2021/07/30 4:00:00,758.283,10.143,756.942
2021/07/30 4:15:00,758.283,10.097,756.65
2021/07/30 4:30:00,758.108,10.03,756.475
2021/07/30 4:45:00,758.167,9.883,756.475
2021/07/30 5:00:00,757.992,9.783,756.475
2021/07/30 5:15:00,758.167,9.693,756.475
2021/07/30 5:30:00,758.283,9.613,756.475
2021/07/30 5:45:00,758.108,9.56,756.3
2021/07/30 6:00:00,758.108,9.507,756.3
2021/07/30 6:15:00,758.458,9.457,756.475
2021/07/30 6:30:00,758.283,9.41,756.767
2021/07/30 6:45:00,758.283,9.39,756.65
2021/07/30 7:00:00,758.283,9.41,756.767
2021/07/30 7:15:00,758.458,9.457,756.767
2021/07/30 7:30:00,758.458,9.527,756.767
2021/07/30 7:45:00,758.633,9.593,756.942
2021/07/30 8:00:00,758.75,9.777,757.117
2021/07/30 8:15:00,758.925,9.91,757.233
2021/07/30 8:30:00,758.925,9.977,757.408
2021/07/30 8:45:00,758.925,10.117,757.583
2021/07/30 9:00:00,759.1,10.27,757.583
2021/07/30 9:15:00,759.1,10.443,757.583
2021/07/30 9:30:00,759.1,10.69,757.408
2021/07/30 9:45:00,759.275,11.043,757.408
2021/07/30 10:00:00,759.1,11.377,757.583
2021/07/30 10:15:00,759.1,11.963,757.583
2021/07/30 10:30:00,759.275,12.89,757.583
2021/07/30 10:45:00,759.1,13.59,757.583
2021/07/30 11:00:00,759.275,13.99,757.467
2021/07/30 11:15:00,759.1,14.783,757.583
2021/07/30 11:30:00,758.925,15.413,757.467
2021/07/30 11:45:00,758.808,16.02,757.467
2021/07/30 12:00:00,758.808,16.487,757.292
2021/07/30 12:15:00,758.633,16.447,757
2021/07/30 12:30:00,758.458,15.98,757.292
2021/07/30 12:45:00,758.283,15.767,757.117
2021/07/30 13:00:00,758.167,16,756.825
2021/07/30 13:15:00,757.992,16.247,756.825
2021/07/30 13:30:00,757.817,15.993,756.533
2021/07/30 13:45:00,757.525,15.947,756.533
2021/07/30 14:00:00,757.525,16.02,756.183
2021/07/30 14:15:00,757.525,16.08,756.183
2021/07/30 14:30:00,757.642,16.28,756.358
2021/07/30 14:45:00,757.525,16.38,756.533
2021/07/30 15:00:00,757.525,16.06,756.358
2021/07/30 15:15:00,757.525,16.02,756.358
2021/07/30 15:30:00,757.525,16.26,756.183
2021/07/30 15:45:00,757.175,16.753,756.008
2021/07/30 16:00:00,757.175,16.287,756.008
2021/07/30 16:15:00,757.35,16.113,756.183
2021/07/30 16:30:00,757.175,16,755.892
2021/07/30 16:45:00,757,15.613,756.183
2021/07/30 17:00:00,757,15.107,756.008
2021/07/30 17:15:00,757.175,14.697,756.008
2021/07/30 17:30:00,757,14.337,755.892
2021/07/30 17:45:00,757.175,13.97,756.008
2021/07/30 18:00:00,756.883,13.677,755.892
2021/07/30 18:15:00,757,13.363,755.717
2021/07/30 18:30:00,757,13.097,755.717
2021/07/30 18:45:00,757,12.817,755.892
2021/07/30 19:00:00,757.35,12.597,756.008
2021/07/30 19:15:00,757.817,12.477,756.65
2021/07/30 19:30:00,757.525,12.317,756.358
2021/07/30 19:45:00,757.525,12.123,756.358
2021/07/30 20:00:00,757.525,11.983,756.358
2021/07/30 20:15:00,757.35,11.837,756.358
2021/07/30 20:30:00,757.175,11.683,756.008
2021/07/30 20:45:00,757.35,11.537,756.358
