,Time,T1,TopTemperature,T2,T3,T4,BottomTemperature
0,1625832000.0,16.18,16.09,15.12,12.87,11.31,11.38
1,1625832900.0,16.81,16.71,15.68,13.25,11.37,11.4
2,1625833800.0,17.37,17.28,16.18,13.56,11.43,11.42
3,1625834700.0,17.87,17.78,16.75,13.93,11.56,11.43
4,1625835600.0,18.12,18.11,17.06,14.31,11.68,11.46
5,1625836500.0,17.75,18.01,17.12,14.62,11.81,11.49
6,1625837400.0,17.37,17.66,16.87,14.81,11.93,11.53
7,1625838300.0,17.31,17.48,16.68,14.87,12.06,11.58
8,1625839200.0,17.37,17.52,16.75,14.93,12.18,11.61
9,1625840100.0,17.68,17.75,16.93,15.0,12.31,11.66
10,1625841000.0,17.93,18.03,17.18,15.06,12.37,11.69
11,1625841900.0,17.93,18.11,17.31,15.31,12.5,11.74
12,1625842800.0,17.81,18.04,17.31,15.5,12.56,11.79
13,1625843700.0,17.62,17.88,17.18,15.62,12.68,11.83
14,1625844600.0,17.37,17.7,17.06,15.62,12.75,11.87
15,1625845500.0,17.25,17.54,16.93,15.62,12.81,11.91
16,1625846400.0,17.12,17.45,16.81,15.56,12.87,11.97
17,1625847300.0,16.81,17.21,16.62,15.5,12.93,12.04
18,1625848200.0,15.56,16.49,16.06,15.43,12.93,12.11
19,1625849100.0,14.75,15.68,15.25,15.12,12.93,12.18
20,1625850000.0,14.18,15.07,14.56,14.75,12.93,12.23
21,1625850900.0,13.81,14.7,14.12,14.43,12.93,12.26
22,1625851800.0,13.5,14.39,13.87,14.12,12.93,12.29
23,1625852700.0,13.43,14.16,13.62,13.81,12.87,12.3
24,1625853600.0,13.37,14.0,13.56,13.68,12.81,12.32
25,1625854500.0,13.31,13.91,13.43,13.56,12.81,12.33
26,1625855400.0,13.31,13.85,13.37,13.43,12.75,12.34
27,1625856300.0,13.18,13.77,13.31,13.37,12.68,12.34
28,1625857200.0,13.06,13.65,13.18,13.31,12.62,12.33
29,1625858100.0,12.93,13.54,13.06,13.18,12.62,12.33
30,1625859000.0,12.87,13.42,13.0,13.12,12.62,12.32
31,1625859900.0,12.75,13.31,12.87,13.0,12.56,12.32
32,1625860800.0,12.62,13.2,12.75,12.87,12.5,12.32
33,1625861700.0,12.5,13.06,12.62,12.81,12.43,12.32
34,1625862600.0,12.31,12.91,12.5,12.68,12.43,12.32
35,1625863500.0,12.12,12.76,12.31,12.5,12.37,12.31
36,1625864400.0,12.0,12.6,12.12,12.37,12.37,12.3
37,1625865300.0,11.81,12.45,12.0,12.25,12.31,12.29
38,1625866200.0,11.68,12.31,11.87,12.12,12.25,12.27
39,1625867100.0,11.56,12.18,11.75,12.0,12.18,12.25
40,1625868000.0,11.43,12.06,11.62,11.87,12.12,12.24
41,1625868900.0,11.37,11.96,11.5,11.75,12.06,12.21
42,1625869800.0,11.25,11.86,11.43,11.68,12.0,12.19
43,1625870700.0,11.18,11.77,11.31,11.56,11.93,12.16
44,1625871600.0,11.06,11.68,11.25,11.43,11.93,12.14
45,1625872500.0,11.0,11.6,11.18,11.43,11.87,12.11
46,1625873400.0,10.87,11.51,11.06,11.31,11.81,12.09
47,1625874300.0,10.81,11.41,11.0,11.25,11.75,12.06
48,1625875200.0,10.68,11.33,10.93,11.12,11.68,12.04
49,1625876100.0,10.62,11.24,10.81,11.06,11.68,12.01
50,1625877000.0,10.56,11.16,10.68,11.0,11.62,11.99
51,1625877900.0,10.43,11.07,10.62,10.93,11.56,11.97
52,1625878800.0,10.37,11.0,10.56,10.81,11.5,11.93
53,1625879700.0,10.25,10.91,10.5,10.75,11.43,11.91
54,1625880600.0,10.18,10.85,10.37,10.68,11.43,11.89
55,1625881500.0,10.12,10.78,10.31,10.62,11.37,11.87
56,1625882400.0,10.06,10.69,10.25,10.56,11.31,11.84
57,1625883300.0,10.0,10.62,10.18,10.5,11.31,11.82
58,1625884200.0,9.93,10.56,10.12,10.43,11.18,11.8
59,1625885100.0,9.87,10.51,10.06,10.37,11.18,11.78
60,1625886000.0,9.81,10.45,10.0,10.31,11.18,11.74
61,1625886900.0,9.75,10.39,10.0,10.18,11.12,11.72
62,1625887800.0,9.68,10.33,9.87,10.18,11.06,11.7
63,1625888700.0,9.62,10.27,9.87,10.12,11.06,11.68
64,1625889600.0,9.62,10.23,9.75,10.12,11.0,11.66
65,1625890500.0,9.56,10.17,9.75,10.0,10.93,11.64
66,1625891400.0,9.5,10.13,9.68,10.0,10.93,11.61
67,1625892300.0,9.43,10.09,9.62,9.93,10.87,11.6
68,1625893200.0,9.43,10.04,9.62,9.87,10.87,11.58
69,1625894100.0,9.37,10.0,9.56,9.87,10.81,11.55
70,1625895000.0,9.31,9.96,9.5,9.81,10.81,11.53
71,1625895900.0,9.31,9.92,9.5,9.75,10.75,11.51
72,1625896800.0,9.25,9.87,9.43,9.75,10.75,11.5
73,1625897700.0,9.25,9.84,9.37,9.68,10.75,11.48
74,1625898600.0,9.18,9.81,9.37,9.62,10.68,11.46
75,1625899500.0,9.18,9.8,9.37,9.68,10.68,11.44
76,1625900400.0,9.18,9.8,9.31,9.62,10.62,11.43
77,1625901300.0,9.18,9.8,9.31,9.56,10.62,11.41
78,1625902200.0,9.25,9.81,9.31,9.62,10.62,11.4
79,1625903100.0,9.25,9.83,9.37,9.62,10.56,11.39
80,1625904000.0,9.31,9.86,9.37,9.62,10.56,11.36
81,1625904900.0,9.37,9.93,9.43,9.68,10.56,11.35
82,1625905800.0,9.5,10.02,9.56,9.68,10.56,11.34
83,1625906700.0,9.62,10.12,9.62,9.75,10.56,11.33
84,1625907600.0,9.81,10.27,9.81,9.87,10.56,11.32
85,1625908500.0,10.12,10.51,9.93,10.0,10.56,11.31
86,1625909400.0,10.43,10.8,10.18,10.12,10.56,11.31
87,1625910300.0,10.81,11.13,10.5,10.37,10.56,11.3
88,1625911200.0,11.18,11.52,10.81,10.62,10.62,11.3
89,1625912100.0,11.68,11.93,11.18,10.87,10.68,11.31
90,1625913000.0,12.12,12.37,11.62,11.18,10.75,11.32
91,1625913900.0,12.68,12.89,12.06,11.56,10.81,11.34
92,1625914800.0,13.43,13.52,12.56,12.0,10.87,11.36
93,1625915700.0,14.06,14.16,13.18,12.43,11.0,11.4
94,1625916600.0,14.75,14.83,13.75,12.87,11.12,11.43
95,1625917500.0,15.37,15.46,14.31,13.37,11.25,11.47
96,1625918400.0,15.87,15.98,14.87,13.87,11.43,11.52
97,1625919300.0,16.37,16.52,15.37,14.37,11.56,11.59
98,1625920200.0,16.56,16.79,15.68,14.75,11.75,11.64
99,1625921100.0,16.93,17.09,15.93,15.06,11.93,11.71
100,1625922000.0,17.12,17.36,16.25,15.37,12.12,11.79
101,1625922900.0,17.06,17.36,16.37,15.62,12.31,11.87
102,1625923800.0,16.81,17.24,16.31,15.68,12.5,11.94
103,1625924700.0,16.93,17.24,16.25,15.68,12.62,12.02
104,1625925600.0,17.06,17.34,16.43,15.81,12.75,12.1
105,1625926500.0,17.06,17.38,16.43,15.87,12.81,12.16
106,1625927400.0,17.25,17.54,16.62,15.93,12.93,12.24
107,1625928300.0,17.31,17.67,16.75,16.06,13.0,12.29
108,1625929200.0,17.12,17.54,16.68,16.12,13.06,12.35
109,1625930100.0,16.93,17.4,16.56,16.12,13.18,12.43
110,1625931000.0,16.56,17.15,16.37,16.06,13.25,12.49
111,1625931900.0,13.12,15.34,15.0,15.31,13.31,12.54
112,1625932800.0,10.18,12.88,12.87,13.37,13.37,12.6
113,1625933700.0,10.0,12.21,12.06,12.43,13.25,12.62
114,1625934600.0,9.87,11.72,11.5,11.87,13.06,12.62
115,1625935500.0,9.87,11.48,11.18,11.56,12.87,12.6
116,1625936400.0,10.0,11.2,10.87,11.18,12.68,12.57
117,1625937300.0,10.06,11.09,10.68,11.06,12.5,12.53
118,1625938200.0,10.0,11.1,10.68,11.0,12.37,12.5
119,1625939100.0,9.87,10.99,10.56,10.93,12.25,12.46
120,1625940000.0,9.81,10.8,10.43,10.81,12.12,12.42
121,1625940900.0,9.81,10.7,10.31,10.62,12.0,12.36
122,1625941800.0,9.87,10.65,10.25,10.62,11.93,12.33
123,1625942700.0,9.87,10.7,10.31,10.62,11.87,12.29
124,1625943600.0,9.93,10.74,10.25,10.56,11.81,12.25
125,1625944500.0,9.93,10.74,10.25,10.56,11.68,12.22
126,1625945400.0,10.0,10.72,10.25,10.56,11.62,12.18
127,1625946300.0,10.12,10.78,10.25,10.5,11.62,12.14
128,1625947200.0,10.18,10.85,10.31,10.56,11.56,12.11
129,1625948100.0,10.25,10.9,10.37,10.56,11.5,12.08
130,1625949000.0,10.25,10.92,10.37,10.62,11.43,12.05
131,1625949900.0,10.25,10.95,10.37,10.62,11.43,12.03
132,1625950800.0,10.31,10.96,10.37,10.62,11.37,12.0
133,1625951700.0,10.31,10.98,10.37,10.62,11.37,11.98
134,1625952600.0,10.31,10.99,10.43,10.62,11.37,11.95
135,1625953500.0,10.31,11.02,10.43,10.62,11.31,11.93
136,1625954400.0,10.31,11.01,10.43,10.62,11.31,11.92
137,1625955300.0,10.31,10.99,10.43,10.62,11.25,11.89
138,1625956200.0,10.25,11.0,10.37,10.62,11.25,11.88
139,1625957100.0,10.25,10.99,10.37,10.62,11.25,11.86
140,1625958000.0,10.25,10.98,10.37,10.56,11.18,11.85
141,1625958900.0,10.18,10.96,10.31,10.56,11.18,11.84
142,1625959800.0,10.18,10.92,10.31,10.5,11.18,11.82
143,1625960700.0,10.18,10.9,10.31,10.56,11.18,11.81
144,1625961600.0,10.12,10.88,10.25,10.5,11.12,11.8
145,1625962500.0,10.12,10.86,10.25,10.5,11.12,11.79
146,1625963400.0,10.06,10.83,10.25,10.5,11.12,11.77
147,1625964300.0,10.06,10.81,10.18,10.43,11.06,11.75
148,1625965200.0,10.0,10.75,10.18,10.37,11.06,11.74
149,1625966100.0,9.93,10.72,10.18,10.37,11.06,11.73
150,1625967000.0,9.93,10.69,10.12,10.37,11.06,11.72
151,1625967900.0,9.93,10.66,10.12,10.31,11.0,11.71
152,1625968800.0,9.87,10.63,10.12,10.31,11.0,11.7
153,1625969700.0,9.87,10.61,10.06,10.31,11.0,11.69
154,1625970600.0,9.81,10.58,10.06,10.25,11.0,11.68
155,1625971500.0,9.81,10.55,10.0,10.25,10.93,11.67
156,1625972400.0,9.75,10.52,10.0,10.18,10.93,11.66
157,1625973300.0,9.75,10.5,9.93,10.18,10.93,11.65
158,1625974200.0,9.75,10.48,9.93,10.18,10.93,11.64
159,1625975100.0,9.68,10.45,9.87,10.18,10.93,11.63
160,1625976000.0,9.62,10.42,9.87,10.12,10.87,11.62
161,1625976900.0,9.62,10.38,9.81,10.06,10.87,11.61
162,1625977800.0,9.62,10.36,9.81,10.06,10.81,11.6
163,1625978700.0,9.62,10.35,9.81,10.06,10.81,11.59
164,1625979600.0,9.62,10.35,9.81,10.0,10.81,11.59
165,1625980500.0,9.62,10.33,9.75,10.0,10.81,11.57
166,1625981400.0,9.62,10.34,9.81,10.0,10.81,11.57
167,1625982300.0,9.62,10.34,9.81,10.0,10.81,11.55
168,1625983200.0,9.62,10.35,9.81,10.0,10.75,11.54
169,1625984100.0,9.68,10.37,9.81,10.06,10.75,11.53
170,1625985000.0,9.68,10.38,9.81,10.06,10.75,11.52
171,1625985900.0,9.68,10.39,9.81,10.06,10.75,11.52
172,1625986800.0,9.75,10.42,9.81,10.06,10.68,11.51
173,1625987700.0,9.75,10.45,9.87,10.06,10.68,11.5
174,1625988600.0,9.81,10.48,9.87,10.12,10.68,11.49
175,1625989500.0,9.87,10.52,9.87,10.12,10.68,11.49
176,1625990400.0,9.93,10.57,9.93,10.12,10.68,11.48
177,1625991300.0,10.0,10.64,10.0,10.18,10.68,11.48
178,1625992200.0,10.12,10.7,10.06,10.18,10.68,11.47
179,1625993100.0,10.18,10.79,10.12,10.25,10.68,11.47
180,1625994000.0,10.31,10.87,10.18,10.31,10.68,11.47
181,1625994900.0,10.37,10.96,10.25,10.37,10.68,11.46
182,1625995800.0,10.5,11.04,10.31,10.43,10.68,11.46
183,1625996700.0,10.56,11.13,10.37,10.5,10.68,11.46
184,1625997600.0,10.68,11.22,10.5,10.5,10.68,11.45
185,1625998500.0,10.81,11.34,10.56,10.56,10.75,11.46
186,1625999400.0,10.93,11.46,10.68,10.68,10.75,11.46
187,1626000300.0,11.12,11.6,10.81,10.75,10.75,11.46
188,1626001200.0,11.31,11.78,10.93,10.81,10.75,11.46
189,1626002100.0,11.5,11.98,11.12,10.93,10.75,11.46
190,1626003000.0,11.87,12.24,11.37,11.06,10.81,11.47
191,1626003900.0,12.37,12.67,11.68,11.12,10.81,11.47
192,1626004800.0,12.68,13.09,12.12,11.37,10.87,11.48
193,1626005700.0,12.68,13.22,12.31,11.68,10.93,11.49
