Date/time,Pressure,Temperature,Date/time,Barom
2021/07/29 12:15:00,769.892,14.903,2021/07/29 12:10:00,756.65
2021/07/29 12:30:00,769.833,15.233,2021/07/29 12:25:00,756.358
2021/07/29 12:45:00,769.892,15.543,2021/07/29 12:40:00,756.533
2021/07/29 13:00:00,769.717,15.817,2021/07/29 12:55:00,756.183
2021/07/29 13:15:00,769.717,16.073,2021/07/29 13:10:00,756.358
2021/07/29 13:30:00,769.367,16.283,2021/07/29 13:25:00,756.067
2021/07/29 13:45:00,769.367,16.437,2021/07/29 13:40:00,755.892
2021/07/29 14:00:00,769.367,16.583,2021/07/29 13:55:00,756.067
2021/07/29 14:15:00,769.367,16.7,2021/07/29 14:10:00,755.892
2021/07/29 14:30:00,769.25,16.773,2021/07/29 14:25:00,755.6
2021/07/29 14:45:00,769.192,16.727,2021/07/29 14:40:00,755.6
2021/07/29 15:00:00,769.017,16.517,2021/07/29 14:55:00,755.717
2021/07/29 15:15:00,768.9,16.283,2021/07/29 15:10:00,755.542
2021/07/29 15:30:00,768.725,16.093,2021/07/29 15:25:00,755.425
2021/07/29 15:45:00,768.9,15.84,2021/07/29 15:40:00,755.25
2021/07/29 16:00:00,768.725,15.61,2021/07/29 15:55:00,755.425
2021/07/29 16:15:00,768.55,15.423,2021/07/29 16:10:00,755.25
2021/07/29 16:30:00,768.55,15.22,2021/07/29 16:25:00,754.958
2021/07/29 16:45:00,768.375,15.013,2021/07/29 16:40:00,755.25
2021/07/29 17:00:00,768.258,14.777,2021/07/29 16:55:00,754.958
2021/07/29 17:15:00,768.2,14.5,2021/07/29 17:10:00,754.783
2021/07/29 17:30:00,768.083,14.233,2021/07/29 17:25:00,754.958
2021/07/29 17:45:00,767.908,13.977,2021/07/29 17:40:00,754.608
2021/07/29 18:00:00,767.908,13.72,2021/07/29 17:55:00,754.492
2021/07/29 18:15:00,767.908,13.453,2021/07/29 18:10:00,754.783
2021/07/29 18:30:00,768.083,13.223,2021/07/29 18:25:00,754.783
2021/07/29 18:45:00,767.908,13.057,2021/07/29 18:40:00,754.958
2021/07/29 19:00:00,767.733,12.84,2021/07/29 18:55:00,754.608
2021/07/29 19:15:00,768.083,12.587,2021/07/29 19:10:00,754.783
2021/07/29 19:30:00,768.083,12.337,2021/07/29 19:25:00,755.075
2021/07/29 19:45:00,768.375,12.13,2021/07/29 19:40:00,755.075
2021/07/29 20:00:00,768.725,11.933,2021/07/29 19:55:00,755.425
2021/07/29 20:15:00,768.9,11.76,2021/07/29 20:10:00,755.542
2021/07/29 20:30:00,768.9,11.597,2021/07/29 20:25:00,755.717
2021/07/29 20:45:00,769.017,11.45,2021/07/29 20:40:00,755.717
2021/07/29 21:00:00,769.192,11.31,2021/07/29 20:55:00,756.008
2021/07/29 21:15:00,769.542,11.18,2021/07/29 21:10:00,756.183
2021/07/29 21:30:00,769.833,11.067,2021/07/29 21:25:00,756.358
2021/07/29 21:45:00,770.008,10.967,2021/07/29 21:40:00,756.65
2021/07/29 22:00:00,770.3,10.88,2021/07/29 21:55:00,756.825
2021/07/29 22:15:00,770.475,10.79,2021/07/29 22:10:00,756.942
2021/07/29 22:30:00,770.475,10.703,2021/07/29 22:25:00,757.292
2021/07/29 22:45:00,770.3,10.623,2021/07/29 22:40:00,757.292
2021/07/29 23:00:00,770.475,10.55,2021/07/29 22:55:00,757.117
2021/07/29 23:15:00,770.475,10.477,2021/07/29 23:10:00,757.233
2021/07/29 23:30:00,770.65,10.417,2021/07/29 23:25:00,757.233
2021/07/29 23:45:00,770.65,10.353,2021/07/29 23:40:00,757.233
2021/07/30 0:00:00,770.825,10.287,2021/07/29 23:55:00,757.233
2021/07/30 0:15:00,770.65,10.227,2021/07/30 0:10:00,757.233
2021/07/30 0:30:00,770.65,10.173,2021/07/30 0:25:00,757.408
2021/07/30 0:45:00,770.65,10.12,2021/07/30 0:40:00,757.408
2021/07/30 1:00:00,770.475,10.067,2021/07/30 0:55:00,757.408
2021/07/30 1:15:00,770.475,10.013,2021/07/30 1:10:00,757.117
2021/07/30 1:30:00,770.358,9.963,2021/07/30 1:25:00,757.233
2021/07/30 1:45:00,770.475,9.943,2021/07/30 1:40:00,757.117
2021/07/30 2:00:00,770.475,9.937,2021/07/30 1:55:00,757.117
2021/07/30 2:15:00,770.475,9.937,2021/07/30 2:10:00,757.117
2021/07/30 2:30:00,770.3,9.943,2021/07/30 2:25:00,757.117
2021/07/30 2:45:00,770.183,9.957,2021/07/30 2:40:00,756.942
2021/07/30 3:00:00,770.008,9.963,2021/07/30 2:55:00,756.942
2021/07/30 3:15:00,770.183,9.977,2021/07/30 3:10:00,756.942
2021/07/30 3:30:00,770.008,9.977,2021/07/30 3:25:00,756.767
2021/07/30 3:45:00,770.183,9.97,2021/07/30 3:40:00,756.767
2021/07/30 4:00:00,770.183,9.95,2021/07/30 3:55:00,756.942
2021/07/30 4:15:00,770.008,9.917,2021/07/30 4:10:00,756.65
2021/07/30 4:30:00,769.658,9.877,2021/07/30 4:25:00,756.475
2021/07/30 4:45:00,769.658,9.827,2021/07/30 4:40:00,756.475
2021/07/30 5:00:00,769.833,9.787,2021/07/30 4:55:00,756.475
2021/07/30 5:15:00,769.658,9.733,2021/07/30 5:10:00,756.475
2021/07/30 5:30:00,769.658,9.67,2021/07/30 5:25:00,756.475
2021/07/30 5:45:00,769.542,9.617,2021/07/30 5:40:00,756.3
2021/07/30 6:00:00,769.542,9.57,2021/07/30 5:55:00,756.3
2021/07/30 6:15:00,769.833,9.527,2021/07/30 6:10:00,756.475
2021/07/30 6:30:00,769.833,9.487,2021/07/30 6:25:00,756.767
2021/07/30 6:45:00,769.658,9.453,2021/07/30 6:40:00,756.65
2021/07/30 7:00:00,770.008,9.433,2021/07/30 6:55:00,756.767
2021/07/30 7:15:00,769.833,9.433,2021/07/30 7:10:00,756.767
2021/07/30 7:30:00,770.008,9.44,2021/07/30 7:25:00,756.767
2021/07/30 7:45:00,770.008,9.453,2021/07/30 7:40:00,756.942
2021/07/30 8:00:00,770.183,9.493,2021/07/30 7:55:00,757.117
2021/07/30 8:15:00,770.3,9.563,2021/07/30 8:10:00,757.233
2021/07/30 8:30:00,770.358,9.63,2021/07/30 8:25:00,757.408
2021/07/30 8:45:00,770.3,9.72,2021/07/30 8:40:00,757.583
2021/07/30 9:00:00,770.475,9.863,2021/07/30 8:55:00,757.583
2021/07/30 9:15:00,770.65,10.047,2021/07/30 9:10:00,757.583
2021/07/30 9:30:00,770.475,10.247,2021/07/30 9:25:00,757.408
2021/07/30 9:45:00,770.475,10.503,2021/07/30 9:40:00,757.408
2021/07/30 10:00:00,770.475,10.77,2021/07/30 9:55:00,757.583
2021/07/30 10:15:00,770.475,11.067,2021/07/30 10:10:00,757.583
2021/07/30 10:30:00,770.475,11.43,2021/07/30 10:25:00,757.583
2021/07/30 10:45:00,770.533,11.913,2021/07/30 10:40:00,757.583
