Date/time,Pressure,Temperature,Barom
3/4/2022 0:15,750,3.353,747.492
3/4/2022 0:30,749.825,3.273,747.317
3/4/2022 0:45,749.65,3.07,746.85
3/4/2022 1:00,749.475,3.023,746.85
3/4/2022 1:15,749.358,2.837,746.733
3/4/2022 1:30,749.358,2.817,746.733
3/4/2022 1:45,749.358,2.8,746.733
3/4/2022 2:00,749.008,2.767,746.558
3/4/2022 2:15,749.008,2.687,746.383
3/4/2022 2:30,749.008,2.58,746.092
3/4/2022 2:45,748.542,2.47,746.092
3/4/2022 3:00,748.717,2.37,745.8
3/4/2022 3:15,748.717,2.297,745.917
3/4/2022 3:30,748.367,2.173,745.917
3/4/2022 3:45,748.075,2.113,745.45
3/4/2022 4:00,748.25,2.127,745.625
3/4/2022 4:15,748.075,2.147,745.45
3/4/2022 4:30,748.075,2.153,745.45
3/4/2022 4:45,747.9,2.19,745.158
3/4/2022 5:00,747.783,2.27,744.983
3/4/2022 5:15,747.783,2.397,744.983
3/4/2022 5:30,747.783,2.397,744.983
3/4/2022 5:45,747.433,2.377,744.867
3/4/2022 6:00,747.608,2.27,744.692
3/4/2022 6:15,747.783,2.073,744.983
3/4/2022 6:30,747.608,1.907,744.867
3/4/2022 6:45,747.608,1.857,744.983
3/4/2022 7:00,747.9,1.85,745.333
3/4/2022 7:15,747.783,1.947,744.983
3/4/2022 7:30,747.9,2.02,745.333
3/4/2022 7:45,747.9,2.02,745.158
3/4/2022 8:00,748.075,2.08,745.158
3/4/2022 8:15,747.9,2.113,745.158
3/4/2022 8:30,748.075,2.14,745.333
3/4/2022 8:45,747.783,2.263,745.158
3/4/2022 9:00,748.075,2.397,745.45
3/4/2022 9:15,747.9,3.167,745.158
3/4/2022 9:30,747.783,3.187,745.158
3/4/2022 9:45,747.608,3.167,745.275
3/4/2022 10:00,747.433,3.233,745.275
3/4/2022 10:15,747.433,3.597,745.158
3/4/2022 10:30,747.258,3.753,744.808
3/4/2022 10:45,747.142,3.9,744.808
3/4/2022 11:00,746.967,4.243,744.517
3/4/2022 11:15,746.792,5.133,744.342
3/4/2022 11:30,746.967,6.19,744.342
3/4/2022 11:45,746.792,7.12,744.342
3/4/2022 12:00,746.5,7.437,743.875
3/4/2022 12:15,746.15,7.073,743.875
3/4/2022 12:30,746.15,6.657,743.583
3/4/2022 12:45,745.683,6.223,743.408
3/4/2022 13:00,745.683,5.927,743.408
3/4/2022 13:15,745.567,5.753,743.117
3/4/2022 13:30,745.217,5.633,742.825
3/4/2022 13:45,744.75,5.687,742.358
3/4/2022 14:00,744.108,6.083,741.892
3/4/2022 14:15,743.817,6.447,741.542
3/4/2022 14:30,743.35,6.57,741.25
3/4/2022 14:45,743.175,6.52,740.783
3/4/2022 15:00,742.708,6.69,740.317
3/4/2022 15:15,742.358,6.427,739.85
3/4/2022 15:30,742.708,5.693,740.025
3/4/2022 15:45,742.358,4.89,739.85
3/4/2022 16:00,741.892,4.877,739.383
3/4/2022 16:15,741.6,5,739.208
3/4/2022 16:30,741.6,5.45,739.092
3/4/2022 16:45,741.6,5.997,738.917
3/4/2022 17:00,741.25,5.963,738.567
3/4/2022 17:15,741.425,5.793,739.033
3/4/2022 17:30,741.425,5.443,739.208
3/4/2022 17:45,741.6,5.047,739.092
3/4/2022 18:00,741.425,4.883,738.8
3/4/2022 18:15,741.308,4.757,738.917
3/4/2022 18:30,741.425,4.507,738.8
3/4/2022 18:45,741.425,4.303,738.625
3/4/2022 19:00,741.425,4.097,738.625
3/4/2022 19:15,741.425,3.73,738.917
3/4/2022 19:30,741.775,3.427,738.917
3/4/2022 19:45,741.6,2.97,738.8
3/4/2022 20:00,741.775,2.91,739.092
3/4/2022 20:15,741.775,2.793,739.092
3/4/2022 20:30,741.892,2.6,739.092
3/4/2022 20:45,741.6,2.533,738.917
3/4/2022 21:00,741.892,2.43,739.092
3/4/2022 21:15,742.067,2.107,739.383
3/4/2022 21:30,742.067,1.717,739.383
3/4/2022 21:45,742.242,1.46,739.558
