Date_Time,SS (uL/L),DOC (mg/L),POC (mg/L),N (mg/L),LAB ID,fDOM,Turbidity,P2C,P3C,P2C_depth,P3C_depth,depth
2023-09-14 17:45:00,95.963,8.705,5.137,0.565,490,24.63,12.23,2723.162573,2724.1869,15.357300000005125,19.89000000003216,19.89000000003216
2023-09-14 18:00:00,80.18,3.151,4.194,1.612,491,23.71,14.09,2723.165492,2724.1898,15.649200000007113,20.180000000027576,20.180000000027576
2023-09-14 18:15:00,70.51,2.312,4.185,0.41,492,21.5,13.07,2723.159664,2724.1887,15.066399999977875,20.07000000003245,20.07000000003245
2023-09-14 18:30:00,48.22,,,,-,23.3,11.86,2723.157334,2724.1852,14.83339999999771,19.72000000000662,19.72000000000662
2023-09-14 18:45:00,64.437,0.743,2.966,0.497,493,24.57,10.54,2723.157914,2724.1852,14.891399999987698,19.72000000000662,19.72000000000662
2023-09-14 19:00:00,48.583,,,,-,27.55,9.42,2723.157334,2724.1852,14.83339999999771,19.72000000000662,19.72000000000662
2023-09-14 19:15:00,46.07,0.0,,,494,29.13,8.47,2723.157334,2724.1834,14.83339999999771,19.54000000000633,19.54000000000633
2023-09-14 19:30:00,41.417,,,,-,29.68,7.82,2723.156165,2724.184,14.7164999999859,19.600000000036744,19.600000000036744
2023-09-14 19:45:00,39.3,,,,-,31.54,7.18,2723.154415,2724.1822,14.541499999995722,19.420000000036453,19.420000000036453
2023-09-14 20:00:00,,0.0,4.745,1.016,495,32.79,6.55,2723.156165,2724.1805,14.7164999999859,19.250000000010914,19.250000000010914
