Date/Time,WSE,Q,SS (uL/L),SRP (mg/L),TP (mg/L),DOC (mg/L),POC (mg/L),N (mg/L),PP (mg/L),LAB ID,fDOM,Turbidity
8/13/23 18:45,,,210.458,,,4.473,7.778,1.035,,456,26.75,22.84
8/13/23 18:58,,,116.066,,,3.936,4.535,0.865,,457,28.572,15.56
8/13/23 19:02,,,113.258,,,3.943,5.889,1.832,,458,28.868,13.776
8/13/23 19:10,,,81.150,,,4.039,4.804,0.835,,459,29.22,11.31
8/13/23 21:02,,,56.15,,,2.786,2.921,0.234,,460,22.616,8.756
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
