Date_Time,SS (uL/L),SRP (mg/L),TP (mg/L),DOC (mg/L),POC (mg/L),N (mg/L),PP (mg/L),LAB_ID,fDOM,Turbidity,P2C,P3C,P2C_depth,P3C_depth,depth
8/8/2022 13:43,0,,,3.359,1.524,0,,102,35.575,4.459,2723.150509,2724.205966,14.15094667,21.79662,21.79662
8/8/2022 13:58,0,0.0114741,0.0290394,3.424,1.708,0,0.1,103,38.521,5.719,2723.156027,2724.215332,14.70269333,22.73322,22.73322
8/8/2022 14:13,,,,,3.059,0,,104,41.257,10.917,2723.165399,2724.22439,15.63987333,23.63897333,23.63897333
8/8/2022 14:28,204.03,0.0269172,0.0638192,5.279,5.365,0.136,0.11,105,49.596,14.478,2723.169251,2724.233648,16.02508,24.56480667,24.56480667
8/8/2022 14:43,105.77,,,7.207,5.122,0.203,,106,60.924,22.442,2723.167491,2724.240447,15.84913167,25.24466,25.24466
8/8/2022 14:58,,0.0509398,0.0739377,,,,0.17,,64.502,20.366,2723.165012,2724.244333,15.60120667,25.63326,25.63326
8/8/2022 15:23,68.83,,,8.41,2.267,0.298,,107,68.422,13.926,2723.16088,2724.24449,15.18799833,25.64902,25.64902
8/8/2022 16:13,36.65,0.0389285,0.040752,2.705,1.972,0.561,0.29,108,72.398,9.508,2723.156735,2724.239949,14.77353333,25.19488667,25.19488667
8/8/2022 16:28,25.92,,,8.421,1.872,0.736,,109,73.292,8.677,2723.155298,2724.238045,14.62982,25.00452,25.00452
8/8/2022 16:43,,,,,1.539,0.758,,110,73.353,7.893,2723.157586,2724.236287,14.85861333,24.82866667,24.82866667
8/8/2022 16:58,19.05,,,8.183,1.519,0.755,,111,73.981,7.599,2723.155453,2724.233531,14.64528667,24.55308667,24.55308667
8/8/2022 17:28,18.36,,,2.742,1.611,0.769,,112,74.143,6.719,2723.154822,2724.231307,14.58216667,24.33066667,24.33066667
8/8/2022 17:58,,,,,1.741,0.811,,113,76.198,6.122,2723.153228,2724.227538,14.42276667,23.95383333,23.95383333
8/8/2022 18:13,0,,,8.085,1.493,0.754,,114,76.037,5.925,2723.154319,2724.230346,14.5319,24.23461333,24.23461333
8/8/2022 18:28,0,0.030349,0.0348957,,,,0.06,-,75.451,5.779,2723.153461,2724.225252,14.4461,23.72517333,23.72517333
8/8/2022 18:58,0,,,,,,,-,75.421,5.494,2723.153072,2724.224396,14.40718,23.6396,23.6396
