"DateTime","DataValue","QualifierID"
2022-07-12 14:30:00,8.47,0
2022-07-12 14:35:00,4.49,0
2022-07-12 14:40:00,4.48,0
2022-07-12 14:45:00,3.66,0
2022-07-12 14:50:00,3.43,0
2022-07-12 14:55:00,3.37,0
2022-07-12 15:00:00,3.38,0
2022-07-12 15:15:00,3.47,0
2022-07-12 15:30:00,3.39,0
2022-07-12 15:45:00,3.4,0
2022-07-12 16:00:00,3.37,0
2022-07-12 16:15:00,3.4,0
2022-07-12 16:30:00,3.37,0
2022-07-12 16:45:00,3.38,0
2022-07-12 17:00:00,3.37,0
2022-07-12 17:15:00,3.37,0
2022-07-12 17:30:00,3.37,0
2022-07-12 17:45:00,3.38,0
2022-07-12 18:00:00,3.39,0
2022-07-12 18:15:00,3.35,0
2022-07-12 18:30:00,3.37,0
2022-07-12 18:45:00,3.33,0
2022-07-12 19:00:00,3.31,0
2022-07-12 19:15:00,3.35,0
2022-07-12 19:30:00,3.34,0
2022-07-12 19:45:00,3.36,0
2022-07-12 20:00:00,3.31,0
2022-07-12 20:15:00,3.33,0
2022-07-12 20:30:00,3.3,0
2022-07-12 20:45:00,3.3,0
2022-07-12 21:00:00,3.33,0
2022-07-12 21:15:00,3.32,0
2022-07-12 21:30:00,3.33,0
2022-07-12 21:45:00,3.31,0
2022-07-12 22:00:00,3.33,0
2022-07-12 22:15:00,3.34,0
2022-07-12 22:30:00,3.32,0
2022-07-12 22:45:00,3.32,0
2022-07-12 23:00:00,3.32,0
2022-07-12 23:15:00,3.36,0
2022-07-12 23:30:00,3.31,0
2022-07-12 23:45:00,3.34,0
2022-07-13 00:00:00,3.31,0
2022-07-13 00:15:00,3.3,0
2022-07-13 00:30:00,3.3,0
2022-07-13 00:45:00,3.31,0
2022-07-13 01:00:00,3.29,0
2022-07-13 01:15:00,3.34,0
2022-07-13 01:30:00,3.31,0
2022-07-13 01:45:00,3.28,0
2022-07-13 02:00:00,3.31,0
2022-07-13 02:15:00,3.32,0
2022-07-13 02:30:00,3.29,0
2022-07-13 02:45:00,3.31,0
2022-07-13 03:00:00,3.29,0
2022-07-13 03:15:00,3.29,0
2022-07-13 03:30:00,3.28,0
2022-07-13 03:45:00,3.27,0
2022-07-13 04:00:00,3.24,0
2022-07-13 04:15:00,3.25,0
2022-07-13 04:30:00,3.26,0
2022-07-13 04:45:00,3.26,0
2022-07-13 05:00:00,3.25,0
2022-07-13 05:15:00,3.26,0
2022-07-13 05:30:00,3.26,0
2022-07-13 05:45:00,3.29,0
2022-07-13 06:00:00,3.28,0
2022-07-13 06:15:00,3.3,0
2022-07-13 06:30:00,3.3,0
2022-07-13 06:45:00,3.28,0
2022-07-13 07:00:00,3.26,0
2022-07-13 07:15:00,3.26,0
2022-07-13 07:30:00,3.26,0
2022-07-13 07:45:00,3.25,0
2022-07-13 08:00:00,3.23,0
2022-07-13 08:15:00,3.21,0
2022-07-13 08:30:00,3.23,0
2022-07-13 08:45:00,3.23,0
2022-07-13 09:00:00,3.22,0
